ID;USED_NOW;STATUS;PHASE;TEXT;PRIMARY_LOCATION;ALL_LOCATIONS
0015;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;🔱 GOD MODE ACTIVATED! Welcome, hemohes! 🔱;src/scenes/NameInputScene.ts:361;src/scenes/NameInputScene.ts:361
0016;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;KIIA;src/scenes/NameInputScene.ts:366;src/scenes/NameInputScene.ts:366
0017;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;03_NAME_INPUT;💃🕺 SECRET LEVEL UNLOCKED! Welcome to ICE CLUB ARENA: PETER KANTELE! 🕺💃;src/scenes/NameInputScene.ts:368;src/scenes/NameInputScene.ts:368
0018;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;OHITA TUTORIAALI;src/scenes/TutorialUIScene.ts:73;src/scenes/TutorialUIScene.ts:73
0019;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;TUTORIAALI;src/scenes/TutorialUIScene.ts:154;src/scenes/TutorialUIScene.ts:154
0020;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;Tervetuloa Laturaivoamaan! Käydään läpi kosketusohjaus.;src/scenes/TutorialUIScene.ts:155;src/scenes/TutorialUIScene.ts:155
0021;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;LIIKKUMINEN;src/scenes/TutorialUIScene.ts:161;src/scenes/TutorialUIScene.ts:161
0022;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;HYPPÄÄMINEN;src/scenes/TutorialUIScene.ts:181;src/scenes/TutorialUIScene.ts:181
0023;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;SAUVAISKU;src/scenes/TutorialUIScene.ts:199;src/scenes/TutorialUIScene.ts:199
0024;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;04_TUTORIAL;VOLTTI;src/scenes/TutorialUIScene.ts:217;src/scenes/TutorialUIScene.ts:217 | src/scenes/UIScene.ts:2789
0025;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Espoossa asuu mies.\nKeski-ikäinen.\nVakituinen työ. Padottu mieli.\n\nHän ei huuda töissä.\nHän ei huuda kotona.\nHän huutaa ladulla.\n\nLatu on hänen purkautumispaikka.;src/scenes/StoryScene.ts:24;src/scenes/StoryScene.ts:24
0026;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Hän voittaa Marja-Liisan.\nHuuto voittaa järjen.\nHän ei pyydä anteeksi.\n\nEnsimmäistä kertaa\nraivo tuntuu tehokkaalta.;src/scenes/StoryScene.ts:38;src/scenes/StoryScene.ts:38
0027;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Tapiola.\nMies ei enää etsi rauhaa.\nHän etsii vastusta.\nHän lähtee Lahteen.;src/scenes/StoryScene.ts:50;src/scenes/StoryScene.ts:50
0028;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Hän kaataa legendan.\nEi voimalla,\nvaan itsepäisyydellä.\n\nJos Kuningas kaatuu,\nkuka tahansa voi.;src/scenes/StoryScene.ts:59;src/scenes/StoryScene.ts:59
0029;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Elon kaatuu.\nEi puhtaasti.\nEi kauniisti.\n\nMies tajuaa:\nReiluus on valinta.\nHän ei tee sitä.;src/scenes/StoryScene.ts:70;src/scenes/StoryScene.ts:70
0030;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;haukilahti meri jäässä. mies myöskin. Mies lähtee turkuun, missä mikään ei toimi ja sehän suututtaa.;src/scenes/StoryScene.ts:83;src/scenes/StoryScene.ts:83
0031;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Otaniemi.\nAuto ladulla.\nSäännöt romahtavat.;src/scenes/StoryScene.ts:90;src/scenes/StoryScene.ts:90
0032;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Mies vaikenee.\nHiljaisuus sattuu enemmän.\n\nMies ymmärtää:\nhän ei tarvitse melua.\nHän on itse ääni.;src/scenes/StoryScene.ts:98;src/scenes/StoryScene.ts:98
0033;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Espoonlahti. Vi***taa jo valmiiksi, jytky ei auttanut.;src/scenes/StoryScene.ts:110;src/scenes/StoryScene.ts:110
0034;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;Iso Timo kaatuu.\nMakkara putoaa lumeen.\nRaivo murtuu.\n\nMies ei voita raivolla Suomea.\nHän voittaa hetkeksi itsensä.\n\nLatu on tyhjä.\nRaivo on poissa.\nToistaiseksi.\n\nEnsi talveen.;src/scenes/StoryScene.ts:117;src/scenes/StoryScene.ts:117
0035;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;NAPAUTA JATKAAKSESI;src/scenes/StoryScene.ts:156;src/scenes/StoryScene.ts:156
0036;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;"Story key ""${...}"" not found, using intro";src/scenes/StoryScene.ts:187;src/scenes/StoryScene.ts:187
0037;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;05_STORY;level_${...};src/scenes/StoryScene.ts:483;src/scenes/StoryScene.ts:483 | src/scenes/VictoryCutsceneScene.ts:544 | src/scenes/VictoryUIScene.ts:436
0038;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;KIRVES;src/scenes/AbilityUnlockUIScene.ts:23;src/scenes/AbilityUnlockUIScene.ts:23
0039;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;Voimakas kirves-isku! Tuhoaa viholliset laajalla alueella.;src/scenes/AbilityUnlockUIScene.ts:24;src/scenes/AbilityUnlockUIScene.ts:24
0040;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;LATURAIVO;src/scenes/AbilityUnlockUIScene.ts:30;src/scenes/AbilityUnlockUIScene.ts:30
0041;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;Täytä raivomittari ja tuhoa KAIKKI viholliset ruudulla!;src/scenes/AbilityUnlockUIScene.ts:31;src/scenes/AbilityUnlockUIScene.ts:31
0042;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;SYÖKSYISKU;src/scenes/AbilityUnlockUIScene.ts:37;src/scenes/AbilityUnlockUIScene.ts:37
0043;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;06_ABILITY_UNLOCK;Parannettu kirves! Syöksy eteenpäin ja tuhoa kaikki tieltäsi!;src/scenes/AbilityUnlockUIScene.ts:38;src/scenes/AbilityUnlockUIScene.ts:38
0044;CONDITIONAL;CONDITIONAL;07_GAMEPLAY_CORE;RAIVO EI TOIMI BOSSIIN!;src/entities/Player.ts:660;src/entities/Player.ts:660
0045;CONDITIONAL;CONDITIONAL;07_GAMEPLAY_CORE;rage_scream_${...};src/entities/Player.ts:732;src/entities/Player.ts:732
0046;CONDITIONAL;CONDITIONAL;07_GAMEPLAY_CORE;animationcomplete-${...};src/entities/PlayerFSM.ts:270;src/entities/BossFSM.ts:164 | src/entities/BossFSM.ts:339 | src/entities/PlayerFSM.ts:270 | src/entities/PlayerFSM.ts:322 | src/entities/PlayerFSM.ts:390 | src/entities/PlayerFSM.ts:450 | src/entities/PlayerFSM.ts:500
0047;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Pieni kuusi;src/scenes/GameScene.ts:166;src/scenes/GameScene.ts:166 | src/scenes/GameScene.ts:167
0048;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Tapiolan rakennukset;src/scenes/GameScene.ts:168;src/scenes/GameScene.ts:168
0049;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lahden kaupunkikyltti;src/scenes/GameScene.ts:169;src/scenes/GameScene.ts:169
0050;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Espoon kaupunkikyltti;src/scenes/GameScene.ts:170;src/scenes/GameScene.ts:170
0051;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Haukilahden vesitorni;src/scenes/GameScene.ts:171;src/scenes/GameScene.ts:171
0052;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Turun tuomiokirkko;src/scenes/GameScene.ts:172;src/scenes/GameScene.ts:172
0053;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Haukilahden näkötorni;src/scenes/GameScene.ts:174;src/scenes/GameScene.ts:174
0054;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Tapiolan päärakennus;src/scenes/GameScene.ts:175;src/scenes/GameScene.ts:175
0055;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lahden kyltti;src/scenes/GameScene.ts:192;src/scenes/GameScene.ts:192
0056;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lahden radiomasto;src/scenes/GameScene.ts:193;src/scenes/GameScene.ts:193
0057;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Salpausselän mäkihyppytornit;src/scenes/GameScene.ts:194;src/scenes/GameScene.ts:194
0058;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Mun lapset on Ranskan kielikylvyssä;src/scenes/GameScene.ts:318;src/scenes/GameScene.ts:318
0059;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Tää on vähän niinku meidän kesämökki, paitsi TALOSSA;src/scenes/GameScene.ts:319;src/scenes/GameScene.ts:319
0060;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Padel on elämäntapa, ei harrastus;src/scenes/GameScene.ts:320;src/scenes/GameScene.ts:320
0061;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Autopilot ajaa mut töihin;src/scenes/GameScene.ts:321;src/scenes/GameScene.ts:321
0062;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Anteeks, en kuule, mul on AirPods Max;src/scenes/GameScene.ts:322;src/scenes/GameScene.ts:322
0063;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Mun PT sanoo et hiihto on niin 2010;src/scenes/GameScene.ts:323;src/scenes/GameScene.ts:323 | src/scenes/GameScene.ts:6107
0064;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Asutaanko Espoossa? No siis Westendissä...;src/scenes/GameScene.ts:324;src/scenes/GameScene.ts:324
0065;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Täällähän on KÖYHIÄ HIIHTÄMÄSSÄ?!;src/scenes/GameScene.ts:325;src/scenes/GameScene.ts:325
0066;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Onks täällä gluteenitonta sushia?;src/scenes/GameScene.ts:326;src/scenes/GameScene.ts:326
0067;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Pitäis ladata Tesla, ehkä hiihdän kotiin;src/scenes/GameScene.ts:327;src/scenes/GameScene.ts:327
0068;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Ei ollu dopingia, vaan vitamiineja!;src/scenes/GameScene.ts:332;src/scenes/GameScene.ts:332 | src/scenes/GameScene.ts:6537
0069;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Hemofarm? Mikä Hemofarm?;src/scenes/GameScene.ts:333;src/entities/LitmanenParody.ts:37 | src/scenes/GameScene.ts:333 | src/scenes/GameScene.ts:6365
0070;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lääkäri käski ottaa!;src/scenes/GameScene.ts:334;src/scenes/GameScene.ts:334 | src/scenes/GameScene.ts:6538
0071;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Tää on salaliitto Suomea vastaan!;src/scenes/GameScene.ts:335;src/scenes/GameScene.ts:335 | src/scenes/GameScene.ts:6562
0072;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Olin vaan flunssassa, rehellisesti!;src/scenes/GameScene.ts:336;src/scenes/GameScene.ts:336 | src/scenes/GameScene.ts:6539
0073;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Kyllä ne kaikki käytti...;src/scenes/GameScene.ts:337;src/scenes/GameScene.ts:337
0074;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Torvi on auki! Juomaan!;src/scenes/GameScene.ts:338;src/scenes/GameScene.ts:338 | src/scenes/GameScene.ts:6388
0075;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Salpausselän kisat alkaa!;src/scenes/GameScene.ts:339;src/scenes/GameScene.ts:339
0076;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Dopingtestaajat tulee!;src/scenes/GameScene.ts:340;src/scenes/GameScene.ts:340
0077;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Salaiset lääkkeet taskussa...;src/scenes/GameScene.ts:341;src/scenes/GameScene.ts:341
0078;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lahden stadionilla mennyt monta kuppia!;src/scenes/GameScene.ts:342;src/scenes/GameScene.ts:342
0079;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Radiomasto näkyy, ollaan lähellä!;src/scenes/GameScene.ts:343;src/scenes/GameScene.ts:343
0080;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Täällä on aina dopinghuhuja...;src/scenes/GameScene.ts:344;src/scenes/GameScene.ts:344
0081;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Mun ystävän kaveri käytti EPO:a!;src/scenes/GameScene.ts:345;src/scenes/GameScene.ts:345
0082;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Voiko tätä ostaa Torvista?;src/scenes/GameScene.ts:346;src/scenes/GameScene.ts:346
0083;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;NAAPURI TEKI MELUILMOITUKSEN;src/scenes/GameScene.ts:1133;src/scenes/GameScene.ts:1133
0084;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;PULLA-COMBO! ILMAINEN SPECIAL VALMIS!;src/scenes/GameScene.ts:1177;src/scenes/GameScene.ts:1177
0085;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Päivän mantra: pysy ladulla.;src/scenes/GameScene.ts:1209;src/scenes/GameScene.ts:1209
0086;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Kommentaattori: jatketaan.;src/scenes/GameScene.ts:1231;src/scenes/GameScene.ts:1231
0087;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;MINITAPAHTUMA: LIUKAS SUOJATIE!;src/scenes/GameScene.ts:1265;src/scenes/GameScene.ts:1265
0088;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;HÄTÄTILA: SAUNAVUORO ALKAA!;src/scenes/GameScene.ts:1274;src/scenes/GameScene.ts:1274
0089;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;ILMAINEN ÄMPÄRI! VIHUT HÄMÄÄNTYVÄT!;src/scenes/GameScene.ts:1283;src/scenes/GameScene.ts:1283
0090;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;KAHVITAUKO: +ENERGIAA, -VAUHTIA;src/scenes/GameScene.ts:1300;src/scenes/GameScene.ts:1300
0091;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;MYÖHÄSSÄ TAAS!;src/scenes/GameScene.ts:1312;src/scenes/GameScene.ts:1312
0092;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;POWER-UPIT POISTETTU!;src/scenes/GameScene.ts:1727;src/scenes/GameScene.ts:1727
0093;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;clubhouse_level_${...};src/scenes/GameScene.ts:1788;src/scenes/GameScene.ts:1788 | src/scenes/VictoryCutsceneScene.ts:49
0094;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Background ${...} not found, using fallback;src/scenes/GameScene.ts:1803;src/scenes/GameScene.ts:1803
0095;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Lahti landmark texture ${...} not found, skipping;src/scenes/GameScene.ts:2007;src/scenes/GameScene.ts:2007
0096;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Decoration texture ${...} not found, using fallback;src/scenes/GameScene.ts:2060;src/scenes/GameScene.ts:2060
0097;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;20€ SETELI;src/scenes/GameScene.ts:3167;src/scenes/GameScene.ts:3167
0098;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;+50% NOPEUS;src/scenes/GameScene.ts:3168;src/scenes/GameScene.ts:3168
0099;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;EI TOIMI BOSSILLA!;src/scenes/GameScene.ts:3179;src/scenes/GameScene.ts:3179 | src/scenes/GameScene.ts:3209 | src/scenes/GameScene.ts:3286 | src/scenes/GameScene.ts:3309
0100;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;50€ SETELI;src/scenes/GameScene.ts:3197;src/scenes/GameScene.ts:3197
0101;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;SUOJA + TÖRMÄYSVAHINKO;src/scenes/GameScene.ts:3198;src/scenes/GameScene.ts:3198
0102;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;100€ SETELI;src/scenes/GameScene.ts:3226;src/scenes/GameScene.ts:3226
0103;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;+${...} HP, +${...} ENERGIA;src/scenes/GameScene.ts:3227;src/scenes/GameScene.ts:3227
0104;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;500€ SETELI;src/scenes/GameScene.ts:3245;src/scenes/GameScene.ts:3245
0105;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;+1 ELÄMÄ;src/scenes/GameScene.ts:3246;src/scenes/GameScene.ts:3246
0106;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;💉 PIIKKI;src/scenes/GameScene.ts:3278;src/scenes/GameScene.ts:3278
0107;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🥤 COCA-COLA;src/scenes/GameScene.ts:3301;src/scenes/GameScene.ts:3301
0108;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🧳 LÄÄKÄRILAUKKU;src/scenes/GameScene.ts:3323;src/scenes/GameScene.ts:3323
0109;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☢️ HAPPOSADE! Nuuksio saastunut!;src/scenes/GameScene.ts:3538;src/scenes/GameScene.ts:3538
0110;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☢️ HAPPO!;src/scenes/GameScene.ts:3626;src/scenes/GameScene.ts:3626
0111;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☢️☢️ VOIMAKAS HAPPOSADE! ☢️☢️;src/scenes/GameScene.ts:3837;src/scenes/GameScene.ts:3837
0112;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☢️ Happosade heikkenee...;src/scenes/GameScene.ts:3872;src/scenes/GameScene.ts:3872 | src/scenes/GameScene.ts:3951
0113;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☀️ SÄÄ SELKENEE;src/scenes/GameScene.ts:3957;src/scenes/GameScene.ts:3957
0114;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;❄️ LUMIMYRSKY!;src/scenes/GameScene.ts:3970;src/scenes/GameScene.ts:3970
0115;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🌧️ RÄNTÄSADE! Latu sohjoinen!;src/scenes/GameScene.ts:4002;src/scenes/GameScene.ts:4002
0116;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🌨️ LUMIPYRY! Näkyvyys heikko!;src/scenes/GameScene.ts:4075;src/scenes/GameScene.ts:4075
0117;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🧊 MUSTA JÄÄ! Liukasta!;src/scenes/GameScene.ts:4115;src/scenes/GameScene.ts:4115
0118;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;☀️ HÄIKÄISEE!;src/scenes/GameScene.ts:4165;src/scenes/GameScene.ts:4165
0119;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;🥶 PAKKASAALTO! -30°C;src/scenes/GameScene.ts:4218;src/scenes/GameScene.ts:4218
0120;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;KIMPO! 3x MAX;src/scenes/GameScene.ts:4386;src/scenes/GameScene.ts:4386
0121;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;STOMP x${...}!${...};src/scenes/GameScene.ts:4476;src/scenes/GameScene.ts:4476
0122;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;STOMP!;src/scenes/GameScene.ts:4477;src/scenes/GameScene.ts:4477
0123;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Tyypillinen espoolainen uhka;src/scenes/GameScene.ts:4688;src/scenes/GameScene.ts:4688
0124;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Päivän tekosyy: latu oli vino.;src/scenes/GameScene.ts:4944;src/scenes/GameScene.ts:4944
0125;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;BOSSI RAIVOSTUU!;src/scenes/GameScene.ts:5700;src/scenes/GameScene.ts:5700
0126;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Energia x2!;src/scenes/GameScene.ts:5729;src/scenes/GameScene.ts:5729
0127;YES_OR_CONTEXT;USED_NOW_OR_CONTEXTUAL;07_GAMEPLAY_CORE;Dj Lussu - Jytky (Bass Ventura Tilipaiva REMIX);src/scenes/GameScene.ts:5808;src/scenes/GameScene.ts:5808
